seed = 1234
backbone = efficientnet_v2_s
input_size = 480x240

========== StageA | label_map={'empty': 0, 'low': 1, 'medium': 1, 'high': 1} ==========
num_classes=2 | train n=609 | val n=130
class counts (idx -> n):  {0: 224, 1: 385}
class weights (idx -> w): {0: 1.359, 1: 0.791}

-- StageA | warmup (fc only) --
[StageB.finetune] ep 33/60  train loss=0.192 acc=0.956  val acc=0.780  best=0.829  lr=4.5e-06
[StageB.finetune] ep 34/60  train loss=0.202 acc=0.946  val acc=0.805  best=0.829  lr=4.2e-06
[StageB.finetune] ep 35/60  train loss=0.152 acc=0.971  val acc=0.805  best=0.829  lr=4.0e-06
[StageB.finetune] ep 36/60  train loss=0.151 acc=0.969  val acc=0.780  best=0.829  lr=3.7e-06
[StageB.finetune] ep 37/60  train loss=0.144 acc=0.977  val acc=0.805  best=0.829  lr=3.5e-06
[StageB.finetune] ep 38/60  train loss=0.155 acc=0.953  val acc=0.768  best=0.829  lr=3.2e-06
[StageB.finetune] ep 39/60  train loss=0.142 acc=0.964  val acc=0.744  best=0.829  lr=3.0e-06
[StageB.finetune] ep 40/60  train loss=0.145 acc=0.969  val acc=0.780  best=0.829  lr=2.7e-06
[StageB.finetune] ep 41/60  train loss=0.130 acc=0.982  val acc=0.780  best=0.829  lr=2.5e-06
[StageB.finetune] ep 42/60  train loss=0.147 acc=0.966  val acc=0.805  best=0.829  lr=2.3e-06
[StageB.finetune] ep 43/60  train loss=0.152 acc=0.958  val acc=0.793  best=0.829  lr=2.1e-06
[StageB.finetune] ep 44/60  train loss=0.158 acc=0.956  val acc=0.805  best=0.829  lr=1.9e-06
[StageB.finetune] ep 45/60  train loss=0.165 acc=0.966  val acc=0.817  best=0.829  lr=1.7e-06
[StageB.finetune] ep 46/60  train loss=0.191 acc=0.943  val acc=0.768  best=0.829  lr=1.5e-06
[StageB.finetune] ep 47/60  train loss=0.156 acc=0.953  val acc=0.793  best=0.829  lr=1.3e-06
[StageB.finetune] ep 48/60  train loss=0.127 acc=0.974  val acc=0.780  best=0.829  lr=1.1e-06
[StageB.finetune] ep 49/60  train loss=0.131 acc=0.984  val acc=0.817  best=0.829  lr=9.5e-07
[StageB.finetune] ep 50/60  train loss=0.140 acc=0.974  val acc=0.793  best=0.829  lr=8.1e-07
[StageB.finetune] ep 51/60  train loss=0.137 acc=0.956  val acc=0.780  best=0.829  lr=6.7e-07
[StageB.finetune] ep 52/60  train loss=0.129 acc=0.969  val acc=0.780  best=0.829  lr=5.4e-07
[StageB.finetune] ep 53/60  train loss=0.168 acc=0.938  val acc=0.768  best=0.829  lr=4.3e-07
[StageB.finetune] ep 54/60  train loss=0.133 acc=0.966  val acc=0.768  best=0.829  lr=3.3e-07
[StageB.finetune] ep 55/60  train loss=0.134 acc=0.977  val acc=0.780  best=0.829  lr=2.4e-07
[StageB.finetune] ep 56/60  train loss=0.195 acc=0.927  val acc=0.780  best=0.829  lr=1.7e-07
[StageB.finetune] ep 57/60  train loss=0.150 acc=0.958  val acc=0.793  best=0.829  lr=1.1e-07
[StageB.finetune] ep 58/60  train loss=0.117 acc=0.974  val acc=0.780  best=0.829  lr=6.2e-08
[StageB.finetune] ep 59/60  train loss=0.163 acc=0.964  val acc=0.805  best=0.829  lr=2.7e-08
[StageB.finetune] ep 60/60  train loss=0.145 acc=0.961  val acc=0.768  best=0.829  lr=6.9e-09

[StageB] best val acc = 0.8293  ->  E:\Users\a\Desktop\数模\Waterornot-it-is-a-question-main\Waterornot-it-is-a-question-main\models\efficientnet_v2_s_480x240_seed1234\two_stage\stage_b_low_med_high.pth

Train log -> E:\Users\a\Desktop\数模\Waterornot-it-is-a-question-main\Waterornot-it-is-a-question-main\outputs\metrics\two_stage_train_log_efficientnet_v2_s_480x240_seed1234.csv

Total time: 27.5 min
Summary | Stage A best val acc = 0.9615 | Stage B best val acc = 0.8293
