stage,epoch,phase,loss,acc,lr
StageB.finetune,56,train,0.1493,0.9552,1.7037086855465844e-07
StageB.finetune,56,val,0.7558,0.7556,1.7037086855465844e-07
StageB.finetune,57,train,0.1709,0.9316,1.0926199633097156e-07
StageB.finetune,57,val,0.7878,0.7667,1.0926199633097156e-07
StageB.finetune,58,train,0.1436,0.967,6.15582970243117e-08
StageB.finetune,58,val,0.7762,0.7556,6.15582970243117e-08
StageB.finetune,59,train,0.1698,0.9434,2.7390523158632996e-08
StageB.finetune,59,val,0.7729,0.7444,2.7390523158632996e-08
StageB.finetune,60,train,0.1435,0.9717,6.852326227130835e-09
StageB.finetune,60,val,0.7715,0.7333,6.852326227130835e-09
